"NVIDIA Optimus Update 39.3.0.0" : "C:\Program Files\NVIDIA Corporation\Installer2\Display.Optimus.{4E87A676-6224-4290-AD52-64FEEA58E920}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA Системное программное обеспечение PhysX 9.21.0713" : "C:\Program Files (x86)\NVIDIA Corporation\PhysX" : "C:\Program Files (x86)\NVIDIA Corporation\PhysX\Engine\A_Ball_Trans.ico,0"
"Обновления NVIDIA 39.3.0.0" : "C:\Program Files\NVIDIA Corporation\Installer2\Display.Update.{C3634D30-D6D4-4418-8AC1-975081ED9947}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA FrameView SDK 1.2.7521.31103277" : "C:\Program Files\NVIDIA Corporation\FrameViewSDK" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA SHIELD Streaming" : "C:\Program Files\NVIDIA Corporation\NvStreamSrv" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA GPX Common OSS binaries (POCO, OpenSSL, libprotobuf)" : "C:\Program Files\NVIDIA Corporation\Installer2\GpxCommon.Oss.{50B3DD40-3E86-4657-8D5F-2A58701B66A2}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA Install Application" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore" : "Unknown"
"NVIDIA Backend" : "C:\Program Files (x86)\NVIDIA Corporation\Update Core" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA Container" : "C:\Program Files\NVIDIA Corporation\NvContainer" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA TelemetryApi helper for NvContainer" : "C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.ContainerTelemetryApiHelper.{8218B7B2-2507-4055-9EBB-D3F0971BF233}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA LocalSystem Container" : "C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.LocalSystem.{1EB54EF5-7515-4C58-994F-5A5F2101B4DB}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA Message Bus for NvContainer" : "C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.MessageBus.{A910FA69-CD4C-4865-A511-607179E62E7E}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA NVAPI Monitor plugin for NvContainer" : "C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.NvapiMonitor.{AFDAF0AE-D454-4A90-921D-722D6C76ED8B}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA NetworkService Container" : "C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.ServiceUser.{83206B55-659F-49CE-970D-C3CF2CAF8E6F}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA Session Container" : "C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.Session.{263FA646-489A-470E-97A6-0331FF978560}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA User Container" : "C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.User.{6C03532D-4E12-4948-A046-38FC2FC805B4}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NvModuleTracker" : "C:\Program Files\NVIDIA Corporation\Installer2\NvModuleTracker.Driver.{E2D60ED3-FB24-4464-8E0B-5B79A0CA4F95}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA NodeJS" : "C:\Program Files (x86)\NVIDIA Corporation\NvNode" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA Watchdog Plugin for NvContainer" : "C:\Program Files\NVIDIA Corporation\Installer2\NvPlugin.Watchdog.{ADF1545D-36AC-48F1-A6F2-05E16B7C374A}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA Telemetry Client" : "C:\Program Files\NVIDIA Corporation\NvTelemetry" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA Virtual Host Controller" : "C:\Program Files\NVIDIA Corporation\Installer2\NvVHCI.{A8D772C4-E126-405E-8B54-47F3832A3CAF}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"Nvidia Share" : "C:\Program Files\NVIDIA Corporation\Installer2\OSC.{E2296A2D-084C-4A68-ACA3-64B037240B82}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA ShadowPlay 3.25.1.27" : "C:\Program Files\NVIDIA Corporation\ShadowPlay" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA SHIELD Wireless Controller Driver" : "C:\Program Files\NVIDIA Corporation\Installer2\ShieldWirelessController.{4747671C-6A83-4F1E-B23E-C0C0D6DCA223}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA Update Core" : "C:\Program Files (x86)\NVIDIA Corporation\Update Core" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA Virtual Audio 4.39.0.0" : "C:\Program Files\NVIDIA Corporation\Installer2\VirtualAudio.Driver.{82D6CC66-345E-4A8A-BF48-DAEC1657F5F7}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.50727.4053 False" : "" : "Unknown"
